Name,Temple Code,Numeric Code,,,,,,,,
ABA NIGERIA,ABA,120,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ACCRA GHANA,ACCRA,76,,Accra Ghana,,,0,Accra Ghana,1/0/1900,0
ADELAIDE AUSTRALIA,ADELA,110,,Adelaide Australia,,,0,Adelaide Australia,1/0/1900,0
CARDSTON ALBERTA,ALBER,10,AL,Alberta,8/29/1923,,AL,Alberta,8/29/1923,0
ALBUQUERQUE NEW MEXICO,ALBUQ,69,,Albuquerque New Mexico,,,0,Albuquerque New Mexico,1/0/1900,0
ANCHORAGE ALASKA,ANCHO,73,,Anchorage Alaska,,,0,Anchorage Alaska,1/0/1900,0
APIA SAMOA ,APIA,26,AP,Apia Samoa,8/5/1983,,AP,Apia Samoa,8/5/1983,0
MESA ARIZONA,ARIZO,11,AZ,Arizona,10/26/1927,,AZ,Arizona,10/26/1927,0
ASUNCION PARAGUAY,ASUNC,121,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ATLANTA GEORGIA ,ATLAN,30,AT,Atlanta Georgia,6/9/1983,,AT,Atlanta Georgia,6/9/1983,0
BUENOS AIRES ARGENTINA,BAIRE ,31,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BILLINGS MONTANA,BILLI,68,,Billings Montana,,,0,Billings Montana,1/0/1900,0
BIRMINGHAM ALABAMA,BIRMI,96,,Birmingham Alabama,,,0,Birmingham Alabama,1/0/1900,0
BISMARCK NORTH DAKOTA,BISMA,87,,Bismark North Dakota,,,0,Bismark North Dakota,1/0/1900,0
BOGOTA COLOMBIA,BOGOT,51,BG,Bogota Colombia,,,BG,Bogota Colombia,1/0/1900,0
BOISE IDAHO ,BOISE,43,BO,Boise Idaho,6/9/1984,,BO,Boise Idaho,6/9/1984,0
BOSTON MASSACHUSETTS  ,BOSTO,55,,Boston Massachusetts,,,0,Boston Massachusetts,1/0/1900,0
BOUNTIFUL UTAH,BOUNT,52,,Bountiful Utah,1/17/1995,,0,Bountiful Utah,1/17/1995,0
BRISBANE AUSTRALIA,BRISB,84,,Brisbane Australia,,,0,Brisbane Australia,1/0/1900,0
BATON ROUGE LOUISIANA,BROUG,99,,Baton Rouge Louisiana,,,0,Baton Rouge Louisiana,1/0/1900,0
CAMPINAS BRAZIL,CAMPI,70,,Campinas Brazil,,,0,Campinas Brazil,1/0/1900,0
CARACAS VENEZUELA,CARAC,66,,Caracas Venezuela,,,0,Caracas Venezuela,1/0/1900,0
CHICAGO ILLINOIS,CHICA,33,CH,Chicago Illinois,8/20/1985,,CH,Chicago Illinois,8/20/1985,0
CIUDAD JUAREZ MEXICO,CIUJU,80,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COCHABAMBA BOLIVIA,COCHA,64,,Cochabamba Bolivia,,,0,Cochabamba Bolivia,1/0/1900,0
COLONIA JUAREZ CHIHUAHUA MEXICO,COLJU,75,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COLUMBIA SOUTH CAROLINA,COLSC,95,,Columbia South Carolina,,,0,Columbia South Carolina,1/0/1900,0
