ABA NIGERIA,ABA,120,,,
ACCRA GHANA,ACCRA,76,,,
ADELAIDE AUSTRALIA,ADELA,110,,,
CARDSTON ALBERTA,ALBER,10,AL,8/30/1927,
ALBUQUERQUE NEW MEXICO,ALBUQ,69,,,
ANCHORAGE ALASKA,ANCHO,73,,,
APIA SAMOA ,APIA,26,AP,8/6/1987,
MESA ARIZONA,ARIZO,11,AZ,10/27/1931,
ASUNCION PARAGUAY,ASUNC,121,,,
ATLANTA GEORGIA ,ATLAN,30,AT,6/10/1987,
BUENOS AIRES ARGENTINA,BAIRE ,31,,,
BILLINGS MONTANA,BILLI,68,,,
BIRMINGHAM ALABAMA,BIRMI,96,,,
BISMARCK NORTH DAKOTA,BISMA,87,,,
BOGOTA COLOMBIA,BOGOT,51,BG,,
BOISE IDAHO ,BOISE,43,BO,6/10/1988,
BOSTON MASSACHUSETTS  ,BOSTO,55,,,
BOUNTIFUL UTAH,BOUNT,52,,1/18/1999,
BRISBANE AUSTRALIA,BRISB,84,,,
BATON ROUGE LOUISIANA,BROUG,99,,,
CAMPINAS BRAZIL,CAMPI,70,,,
CARACAS VENEZUELA,CARAC,66,,,
CHICAGO ILLINOIS,CHICA,33,CH,8/21/1989,
CIUDAD JUAREZ MEXICO,CIUJU,80,,,
COCHABAMBA BOLIVIA,COCHA,64,,,
COLONIA JUAREZ CHIHUAHUA MEXICO,COLJU,75,,,
COLUMBIA SOUTH CAROLINA,COLSC,95,,,
COLUMBUS OHIO,COLUM,77,,,
COPENHAGEN DENMARK,COPEN,112,,,
COLUMBIA RIVER WASHINGTON,CRIVE,125,,,
CURITIBA BRAZIL,CURIT,131,,,
DALLAS TEXAS,DALLA,34,DA,11/11/1988,
DENVER COLORADO,DENVE,42,DV,11/8/1990,
DETROIT MICHIGAN,DETRO,92,,,
EDMONTON ALBERTA,EDMON,91,,,
ENDOWMENT HOUSE,EHOUS,4,EH,2/25/1851,9/22/1889
FRANKFURT GERMANY,FRANK,35,FR,9/1/1991,
FREIBERG GERMANY,FREIB,46,FD,7/2/1989,
FRESNO CALIFORNIA,FRESN,103,,,
FUKUOKA JAPAN,FUKUO,79,,,
GUADALAJRA MEXICO,GUADA,114,,,
GUATEMALA CITY GUATEMALA,GUATE,36,GU,12/18/1988,
GUAYAQUIL ECUADOR,GUAYA,45,GY,,
THE HAGUE NETHERLANDS,HAGUE,119,,,
HALIFAX NOVA SCOTIA,HALIF,82,,,
HARRISON NEW YORK,HARRI,65,,,
LAIE HAWAII,HAWAI,9,HA,12/3/1923,
HELSINKI FINLAND,HELSI,122,,,
HERMOSILLO SONORA MEXICO,HERMO,86,,,
HONG KONG CHINA,HKONG,56,,5/29/2000,
HOUSTON TEXAS,HOUST,71,,,
IDAHO FALLS IDAHO,IFALL,12,IF,12/4/1949,
JOHANNESBURG SOUTH AFRICA,JOHAN,37,JO,8/27/1989,
JORDAN RIVER UTAH,JRIVE,25,JR,12/2/1985,
KIEV UKRAINE,KIEV,83,,,
KONA HAWAII,KONA,81,,,
LOS ANGELES CALIFORNIA,LANGE,14,LA,3/25/1960,
LIMA PERU,LIMA,38,LI,1/11/1990,
LOGAN UTAH,LOGAN,6,LG,5/21/1884,
LONDON ENGLAND,LONDO,16,LD,9/11/1962,
LOUISVILLE KENTUCKY,LOUIS,108,,,
LUBBOCK TEXAS,LUBBO,123,,,
LAS VEGAS NEVADA,LVEGA,49,LV,12/20/1993,
MADRID SPAIN,MADRI,59,,,
MANHATTAN  NEW YORK,MANHA,130,,,
MANILA PHILIPPINES,MANIL,39,MA,12/28/1988,
MANTI UTAH,MANTI,7,MT,5/29/1888,
MEDFORD OREGON,MEDFO,107,,,
MELBOURNE AUSTRALIA,MELBO,102,,,
MEMPHIS TENNESSEE,MEMPH,97,,,
MERIDA MEXICO,MERID,98,,,
MEXICO CITY MEXICO,MEXIC,23,MX,12/6/1987,
MONTEVIDEO URUGUAY,MNTVD,100,,,
MONTERREY MEXICO,MONTE,67,,,
MONTICELLO UTAH,MONTI,74,,,
MONTREAL QUEBEC,MONTR,90,,,
MOUNT TIMPANOGOS UTAH ,MTIMP,57,,10/22/2000,
NASHVILLE TENNESSEE,NASHV,62,,,
NAUVOO,NAUVO,2,NV,9/10/1840,2/7/1846
NAUVOO ILLINOIS,NAUV2,116,,,
NEWPORT BEACH CALIFORNIA,NBEAC,126,,,
NUKU'ALOFA TONGA,NUKUA,28,TG,8/13/1987,
HAMILTON NEW ZEALAND,NZEAL,15,NZ,4/23/1962,
OAKLAND CALIFORNIA,OAKLA,17,OK,12/2/1968,
OAXACA MEXICO,OAXAC,105,,,
OGDEN UTAH,OGDEN,19,OG,1/23/1976,
OKLAHOMA CITY OKLAHOMA,OKLAH,109,,,
ORLANDO FLORIDA ,ORLAN,53,,10/13/1998,
OTHER,OTHER,1,,,
PORTO ALEGRE BRAZIL,PALEG,72,,,
PALMYRA NEW YORK,PALMY,104,,,
PANAMA CITY PANAMA,PANAM,132,,,
PAPEETE TAHITI,PAPEE,27,TA,10/30/1987,
PERTH AUSTRALIA,PERTH,117,,,
PRESIDENT'S OFFICE,POFFI,3,PO,1/20/1909,1/1/1914
PORTLAND OREGON,PORTL,48,PT,8/23/1993,
PRESTON ENGLAND ,PREST ,58,,,
PROVO UTAH,PROVO,18,PV,2/24/1976,
RALEIGH NORTH CAROLINA,RALEI,94,,,
RECIFE BRAZIL,RECIF,63,,,
REDLANDS CALIFORNIA,REDLA,127,,,
REGINA SASKATCHEWAN,REGIN,89,,,
RENO NEVADA,RENO,113,,,
